la_code,la_name,dwelling_stock_2024
E08000001, - ,128016.0
E08000002," 7,716 ",85437.0
E08000003," 15,180 ",241010.0
E08000004," 2,089 ",99172.0
E08000005, 20 ,97769.0
E08000006," 1,209 ",132836.0
E08000007," 10,992 ",133076.0
E08000008, - ,105548.0
E08000009, - ,102935.0
E08000010," 21,343 ",152961.0
E08000011, 19 ,71597.0
E08000012, 139 ,232952.0
E08000013, 2 ,86064.0
E08000014, - ,132287.0
E08000015, 40 ,152769.0
E08000016," 17,967 ",115538.0
E08000017," 19,933 ",144282.0
E08000018," 20,034 ",121987.0
E08000019," 38,285 ",251537.0
E08000025," 58,813 ",457076.0
E08000026, 175 ,148006.0
E08000027," 21,103 ",141550.0
E08000028," 27,869 ",136406.0
E08000029," 9,970 ",96041.0
E08000030, - ,118581.0
E08000031," 21,530 ",115164.0
E08000032, 425 ,223526.0
E08000033, - ,97435.0
E08000034," 21,740 ",191001.0
E08000035," 53,199 ",367722.0
E08000036, 51 ,164949.0
E08000021," 24,547 ",132864.0
E08000022," 14,053 ",101617.0
E08000023," 15,927 ",72754.0
E08000024, 149 ,133190.0
E08000037," 18,115 ",95252.0
E07000008," 7,514 ",58112.0
E07000009, - ,40880.0
E07000010, 60 ,47811.0
E07000011, 52 ,83394.0
E07000012," 5,915 ",73500.0
E07000032, 29 ,60361.0
E07000033," 5,009 ",38636.0
E07000034," 8,774 ",51062.0
E07000035, 40 ,36116.0
E07000036, - ,53130.0
E07000037," 3,819 ",44247.0
E07000038," 7,496 ",49145.0
E07000039," 2,927 ",50664.0
E07000040," 4,152 ",75116.0
E07000041," 4,804 ",57425.0
E07000042," 2,975 ",38389.0
E07000043, 22 ,50461.0
E07000044, 15 ,48272.0
E07000045, 46 ,65837.0
E07000046, 5 ,34697.0
E07000047, 22 ,27348.0
E07000061," 3,402 ",50026.0
E07000062, 75 ,44613.0
E07000063," 3,254 ",47635.0
E07000064, 49 ,47207.0
E07000065," 3,098 ",74857.0
E07000066," 11,075 ",80249.0
E07000067, 8 ,70117.0
E07000068," 2,647 ",35656.0
E07000069," 1,497 ",39075.0
E07000070, 121 ,81265.0
E07000071," 5,996 ",86014.0
E07000072," 6,547 ",58325.0
E07000073," 9,040 ",40704.0
E07000074, 1 ,30323.0
E07000075, - ,37897.0
E07000076," 3,062 ",75213.0
E07000077," 2,817 ",40605.0
E07000078," 4,546 ",57511.0
E07000079, - ,46588.0
E07000080, 3 ,40977.0
E07000081, 19 ,59484.0
E07000082," 4,999 ",56842.0
E07000083, - ,45892.0
E07000084, - ,81483.0
E07000085, - ,56040.0
E07000086, 28 ,60731.0
E07000087," 2,590 ",51057.0
E07000088," 3,063 ",37826.0
E07000089, 41 ,42938.0
E07000090," 4,993 ",57120.0
E07000091," 5,205 ",84167.0
E07000092, 1 ,42253.0
E07000093, - ,58631.0
E07000094," 5,214 ",57621.0
E07000095, 496 ,42858.0
E07000096," 10,061 ",67880.0
E07000098, 145 ,45481.0
E07000099, - ,59957.0
E07000102, 55 ,39027.0
E07000103, 42 ,43697.0
E07000240," 4,899 ",63176.0
E07000241," 8,847 ",49621.0
E07000242, 28 ,67719.0
E07000243," 7,911 ",38161.0
E07000105," 5,171 ",58752.0
E07000106," 5,071 ",69942.0
E07000107," 4,216 ",49836.0
E07000108," 4,856 ",56607.0
E07000109," 5,673 ",45204.0
E07000110, 6 ,79289.0
E07000111, 6 ,52247.0
E07000112," 3,391 ",54389.0
E07000113, 9 ,68764.0
E07000114," 3,142 ",70973.0
E07000115, 10 ,56823.0
E07000116, 56 ,52700.0
E07000117, 36 ,42788.0
E07000118, 159 ,53198.0
E07000119, - ,41892.0
E07000120, 1 ,37862.0
E07000121," 3,629 ",66260.0
E07000122, 1 ,41713.0
E07000123, - ,67655.0
E07000124, 10 ,30270.0
E07000125, 20 ,32838.0
E07000126, 23 ,52386.0
E07000127," 5,840 ",52720.0
E07000128, - ,56208.0
E07000129, 15 ,44697.0
E07000130," 5,444 ",79116.0
E07000131, 5 ,44573.0
E07000132," 3,207 ",52758.0
E07000133," 1,787 ",24731.0
E07000134," 4,102 ",48952.0
E07000135," 1,182 ",24346.0
E07000136, - ,31842.0
E07000137, 11 ,90026.0
E07000138," 7,793 ",45558.0
E07000139," 4,023 ",54697.0
E07000140," 3,815 ",44471.0
E07000141," 5,847 ",67416.0
E07000142, 8 ,46615.0
E07000143, 53 ,65994.0
E07000144, 9 ,62336.0
E07000145," 5,766 ",50366.0
E07000146, 157 ,76344.0
E07000147, 29 ,57661.0
E07000148," 14,211 ",68676.0
E07000149, 7 ,66864.0
E07000170," 6,680 ",57899.0
E07000171," 6,546 ",57162.0
E07000172," 4,369 ",51619.0
E07000173, 160 ,55131.0
E07000174," 6,322 ",51652.0
E07000175," 5,603 ",58091.0
E07000176, 30 ,55223.0
E07000177, 240 ,72490.0
E07000178," 7,708 ",60277.0
E07000179, 2 ,67667.0
E07000180, 3 ,64103.0
E07000181, 1 ,53511.0
E07000192," 5,037 ",46087.0
E07000193, - ,56034.0
E07000194, 6 ,49230.0
E07000195, - ,57412.0
E07000196, 2 ,49405.0
E07000197, - ,64171.0
E07000198, 6 ,45451.0
E07000199," 4,304 ",34934.0
E07000200," 3,559 ",43834.0
E07000202," 7,808 ",62043.0
E07000203," 3,431 ",49285.0
E07000244," 4,426 ",123016.0
E07000245, 58 ,83959.0
E07000207, 91 ,60315.0
E07000208, 28 ,33174.0
E07000209," 5,236 ",61184.0
E07000210, 41 ,39540.0
E07000211, 52 ,64392.0
E07000212," 3,130 ",38515.0
E07000213, 51 ,44458.0
E07000214, 11 ,38686.0
E07000215," 2,601 ",38160.0
E07000216," 4,800 ",57373.0
E07000217," 3,374 ",44850.0
E07000218," 2,573 ",29654.0
E07000219," 5,619 ",61435.0
E07000220," 3,479 ",52209.0
E07000221, 11 ,67493.0
E07000222," 5,543 ",69006.0
E07000223," 2,536 ",29012.0
E07000224," 3,448 ",79323.0
E07000225, 42 ,62072.0
E07000226," 8,395 ",47396.0
E07000227, 90 ,66392.0
E07000228, 48 ,69459.0
E07000229, 36 ,52325.0
E07000234, - ,43215.0
E07000235, 1 ,37778.0
E07000236," 5,552 ",38243.0
E07000237, 11 ,47729.0
E07000238, 3 ,61695.0
E07000239, 13 ,49324.0
E06000001, 358 ,45764.0
E06000002, 36 ,65749.0
E06000003, - ,66920.0
E06000004, - ,90055.0
E06000005," 5,256 ",53506.0
E06000006, - ,59224.0
E06000007, 99 ,97017.0
E06000008, - ,63772.0
E06000009," 4,861 ",73328.0
E06000010," 22,961 ",124707.0
E06000011," 11,349 ",179133.0
E06000012, 5 ,75370.0
E06000013, 15 ,77725.0
E06000014," 7,488 ",92033.0
E06000015," 12,594 ",114601.0
E06000016," 18,697 ",137750.0
E06000017, 1 ,17950.0
E06000018," 24,402 ",140089.0
E06000019, 25 ,90954.0
E06000020, - ,83516.0
E06000021," 17,364 ",118900.0
E06000022, 37 ,85820.0
E06000023," 26,226 ",208195.0
E06000024, - ,102677.0
E06000025, 8 ,127541.0
E06000026, - ,122500.0
E06000027, 36 ,70082.0
E06000030," 10,401 ",102678.0
E06000031, 144 ,90521.0
E06000032," 7,629 ",83904.0
E06000033," 6,073 ",83577.0
E06000034," 9,823 ",70558.0
E06000035," 3,029 ",120809.0
E06000036, 151 ,54561.0
E06000037, 83 ,71504.0
E06000038," 6,982 ",74855.0
E06000039," 6,220 ",57818.0
E06000040, - ,66626.0
E06000041," 2,498 ",74654.0
E06000042," 12,478 ",124614.0
E06000043," 11,843 ",134188.0
E06000044," 10,434 ",91534.0
E06000045," 16,339 ",109146.0
E06000046, 88 ,74583.0
E06000047, - ,252630.0
E06000049, 25 ,190837.0
E06000050," 5,319 ",166601.0
E06000051," 4,064 ",152203.0
E06000052," 10,381 ",293483.0
E06000054," 5,308 ",232159.0
E06000055, 101 ,81392.0
E06000056," 5,602 ",132123.0
E06000057," 8,416 ",163795.0
E06000058," 10,098 ",188602.0
E06000059, 207 ,188556.0
E06000060, 163 ,239250.0
E06000061," 8,215 ",160328.0
E06000062," 11,416 ",186029.0
E06000063, 30 ,139016.0
E06000064," 2,577 ",121139.0
E06000065," 10,726 ",308776.0
E06000066," 9,755 ",272382.0
E06000053, 115 ,1297.0
