la_code,la_name,relief_duty_cases,population_2024,dwelling_stock_2024,relief_per_1000_residents,relief_per_1000_dwellings
E07000223,Adur,21.0,64889,29012.0,0.3236295828260568,0.7238384116917138
E07000032,Amber Valley,57.0,130451,60361.0,0.4369456730879794,0.9443183512532927
E07000224,Arun,231.0,170064,79323.0,1.358312164832063,2.912144018758746
E07000170,Ashfield,81.0,129572,57899.0,0.6251350600438367,1.3989878927097186
E07000105,Ashford,160.0,140936,58752.0,1.1352670715785889,2.7233115468409586
E07000200,Babergh,49.0,97033,43834.0,0.504982840889182,1.1178537208559565
E08000016,Barnsley,132.0,251770,115538.0,0.5242880406720419,1.1424812615762778
E07000066,Basildon,139.0,193632,80249.0,0.717856552635928,1.7321088113247518
E07000084,Basingstoke & Deane,39.0,193110,81483.0,0.20195743358707471,0.47862744376127536
E07000171,Bassetlaw,80.0,124937,57162.0,0.6403227226522168,1.399531157062384
E06000022,Bath & North East Somerset,106.0,200028,85820.0,0.5299258103865458,1.2351433232346773
E06000055,Bedford,340.0,194976,81392.0,1.743804365665518,4.17731472380578
E08000025,Birmingham,1060.0,1183618,457076.0,0.8955592091367316,2.319089166790643
E07000129,Blaby,83.0,108165,44697.0,0.7673461840706328,1.8569478935946484
E06000008,Blackburn with Darwen,203.0,162540,63772.0,1.248923341946598,3.183215204164837
E06000009,Blackpool,328.0,144191,73328.0,2.2747605606452552,4.473052585642592
E07000033,Bolsover,29.0,83773,38636.0,0.3461735881489263,0.7505952997204679
E08000001,Bolton,462.0,310085,128016.0,1.4899140558234034,3.608923884514436
E07000136,Boston,22.0,71080,31842.0,0.3095104108047271,0.6909113749136361
E06000058,"Bournemouth, Christchurch and Poole",461.0,408967,188602.0,1.1272303144263474,2.4443006967052314
E06000036,Bracknell Forest,62.0,130806,54561.0,0.4739843738054829,1.1363428089661114
E08000032,Bradford,424.0,563605,223526.0,0.7522999263668704,1.8968710575056145
E07000067,Braintree,42.0,164304,70117.0,0.2556237218813906,0.598998816264244
E07000143,Breckland,136.0,146620,65994.0,0.9275678625017051,2.060793405461103
E07000068,Brentwood,27.0,79326,35656.0,0.3403675970047651,0.757235808840027
E06000043,Brighton & Hove,287.0,283870,134188.0,1.0110261739528656,2.1387903538319373
E06000023,Bristol,659.0,494399,208195.0,1.3329314986478533,3.1653017603688847
E07000144,Broadland,76.0,138157,62336.0,0.5500988006398518,1.219199178644764
E07000234,Bromsgrove,82.0,101685,43215.0,0.806411958499287,1.8974892976975586
E07000095,Broxbourne,124.0,101900,42858.0,1.2168792934249264,2.893275467823977
E07000172,Broxtowe,15.0,114565,51619.0,0.1309300397154454,0.2905906739766365
E06000060,Buckinghamshire,277.0,578772,239250.0,0.478599517599331,1.1577847439916404
E07000117,Burnley,151.0,99233,42788.0,1.521671218243931,3.5290268299523233
E08000002,Bury,191.0,198921,85437.0,0.9601801720280916,2.2355653873614476
E08000033,Calderdale,108.0,210929,97435.0,0.5120206325351184,1.1084312618668857
E07000008,Cambridge,167.0,149352,58112.0,1.1181638009534522,2.873761013215859
E07000192,Cannock Chase,17.0,104088,46087.0,0.16332334178771807,0.36886757654002217
E07000106,Canterbury,,162100,69942.0,,
E07000069,Castle Point,41.0,90581,39075.0,0.45263355449818393,1.0492642354446577
E06000056,Central Bedfordshire,156.0,315877,132123.0,0.4938631176059035,1.180717967348607
E07000130,Charnwood,103.0,188385,79116.0,0.5467526607744778,1.3018858385155974
E07000070,Chelmsford,165.0,188803,81265.0,0.8739267914175093,2.0303943887282347
E07000078,Cheltenham,112.0,121739,57511.0,0.9200009857153418,1.9474535306289231
E07000177,Cherwell,76.0,170426,72490.0,0.4459413469775738,1.0484204717892123
E06000049,Cheshire East,197.0,421298,190837.0,0.46760250464042075,1.032294575999413
E06000050,Cheshire West & Chester,308.0,371652,166601.0,0.8287322549051263,1.8487283989892016
E07000034,Chesterfield,104.0,106045,51062.0,0.9807157338865575,2.0367396498374526
E07000225,Chichester,80.0,128934,62072.0,0.6204724898009835,1.288825879623663
E07000118,Chorley,83.0,120839,53198.0,0.6868643401550824,1.5602090304146772
E07000071,Colchester,162.0,200222,86014.0,0.8091018968944472,1.8834143279001094
E06000052,Cornwall,534.0,583289,293483.0,0.9154981492879174,1.8195261735773451
E07000079,Cotswold,41.0,91661,46588.0,0.44730037856885696,0.8800549497724736
E08000026,Coventry,788.0,369026,148006.0,2.1353508966847867,5.324108482088564
E07000226,Crawley,137.0,124008,47396.0,1.1047674343590737,2.8905392860156973
E06000063,Cumberland Council,259.0,280495,139016.0,0.9233676179611046,1.8630948955515914
E07000096,Dacorum,136.0,161420,67880.0,0.8425226118200966,2.003535651149087
E06000005,Darlington,151.0,112489,53506.0,1.3423534745619572,2.822113407842111
E07000107,Dartford,118.0,125011,49836.0,0.9439169353096927,2.3677662733766756
E06000015,Derby,367.0,274149,114601.0,1.3386880856760375,3.2024153366899064
E07000035,Derbyshire Dales,44.0,71757,36116.0,0.6131805956213331,1.2182965998449442
E08000017,Doncaster,456.0,319765,144282.0,1.4260472534517536,3.1604773984280783
E06000059,Dorset,205.0,389947,188556.0,0.5257124686175301,1.0872101656802222
E07000108,Dover,123.0,119768,56607.0,1.0269855053102666,2.1728761460596746
E08000027,Dudley,522.0,331930,141550.0,1.572620733287139,3.687742847050512
E06000047,Durham,886.0,538011,252630.0,1.646806477934466,3.507105252741163
E07000009,East Cambridgeshire,69.0,92906,40880.0,0.7426861558995113,1.687866927592955
E07000040,East Devon,69.0,158239,75116.0,0.4360492672476444,0.9185792640715693
E07000085,East Hampshire,24.0,129975,56040.0,0.18465089440276977,0.4282655246252676
E07000242,East Hertfordshire,83.0,156875,67719.0,0.5290836653386455,1.2256530663477017
E07000137,East Lindsey,75.0,145183,90026.0,0.5165894078507813,0.833092662119832
E06000011,East Riding of Yorkshire,288.0,355884,179133.0,0.8092524530464983,1.6077439667732913
E07000193,East Staffordshire,85.0,129659,56034.0,0.6555657532450505,1.516936145911411
E07000244,East Suffolk,210.0,249664,123016.0,0.8411304793642655,1.7070950120309554
E07000061,Eastbourne,174.0,104259,50026.0,1.6689206687192473,3.4781913405029385
E07000086,Eastleigh,54.0,142933,60731.0,0.37779938852469336,0.8891669822660585
E07000207,Elmbridge,69.0,141926,60315.0,0.4861688485548807,1.1439940313354886
E07000072,Epping Forest,,137451,58325.0,,
E07000208,Epsom & Ewell,51.0,83288,33174.0,0.612333109211411,1.5373485259540605
E07000036,Erewash,98.0,114253,53130.0,0.8577455296578645,1.844532279314888
E07000041,Exeter,156.0,138399,57425.0,1.1271757743914335,2.716586852416195
E07000087,Fareham,95.0,115428,51057.0,0.8230238763558235,1.8606655306813953
E07000010,Fenland,138.0,104896,47811.0,1.315588773642465,2.886365062433331
E07000112,Folkestone & Hythe,89.0,112411,54389.0,0.7917374634155021,1.6363602934416885
E07000080,Forest of Dean,42.0,89753,40977.0,0.4679509320022729,1.0249652243941725
E07000119,Fylde,56.0,85447,41892.0,0.6553770173323815,1.3367707438174352
E08000037,Gateshead,197.0,202760,95252.0,0.9715920299861905,2.0681980430857094
E07000173,Gedling,57.0,120179,55131.0,0.4742925136671132,1.033901071992164
E07000081,Gloucester,290.0,138598,59484.0,2.092382285458665,4.8752605742720725
E07000088,Gosport,59.0,82921,37826.0,0.7115206039483363,1.5597737006291967
E07000109,Gravesham,238.0,110671,45204.0,2.1505182026005008,5.265020794619945
E07000145,Great Yarmouth,126.0,100529,50366.0,1.253369674422306,2.501687646428146
E07000209,Guildford,64.0,151359,61184.0,0.4228357745492505,1.0460251046025104
E06000006,Halton,333.0,131543,59224.0,2.531491603506078,5.622720518708632
E07000131,Harborough,68.0,104713,44573.0,0.6493940580443689,1.5255872389114487
E07000073,Harlow,55.0,98235,40704.0,0.5598819158141193,1.3512185534591195
E07000089,Hart,28.0,103162,42938.0,0.27141777010914875,0.6521030322791
E06000001,Hartlepool,95.0,98180,45764.0,0.9676105113057649,2.0758674941001662
E07000062,Hastings,146.0,91219,44613.0,1.6005437463686294,3.272588707327461
