"Number of Dwellings by Tenure and district, England, 2024 [p]",,,,,,,
This worksheet contains one table.,,,,,,,
"This table contains notes, which can be found in the Notes worksheet.",,,,,,,
Source: Dwelling stock estimates in England: 2024,,,,,,,
Old ONS code,New ONS code,Area,Local authority,Private registered provider,Other public sector [note 5],Private sector,Total
,E92000001,England," 1,574,098 "," 2,671,675 "," 29,016 "," 21,342,624 "," 25,617,413 "
,,London boroughs," 391,449 "," 428,604 "," 3,199 "," 2,999,078 "," 3,822,330 "
,E13000001,Inner London," 237,046 "," 234,181 "," 1,163 "," 1,170,577 "," 1,642,967 "
00AA,E09000001,City of London, 451 , 230 , - ," 7,080 "," 7,761 "
00AG,E09000007,Camden," 22,808 "," 11,975 ", - ," 74,958 "," 109,741 "
00AM,E09000012,Hackney," 21,593 "," 24,047 ", - ," 73,491 "," 119,131 "
00AN,E09000013,Hammersmith and Fulham," 12,060 "," 13,931 ", - ," 72,077 "," 98,068 "
00AP,E09000014,Haringey," 15,139 "," 12,046 ", 80 ," 89,658 "," 116,923 "
00AU,E09000019,Islington," 25,297 "," 16,460 ", - ," 66,943 "," 108,700 "
00AW,E09000020,Kensington and Chelsea," 6,960 "," 12,740 ", - ," 70,236 "," 89,936 "
00AY,E09000022,Lambeth," 23,929 "," 24,997 ", 297 ," 98,644 "," 147,867 "
00AZ,E09000023,Lewisham," 14,159 "," 23,870 ", - ," 94,555 "," 132,584 "
00BB,E09000025,Newham," 15,924 "," 15,710 ", - ," 101,604 "," 133,238 "
00BE,E09000028,Southwark," 37,663 "," 17,768 ", 135 ," 90,996 "," 146,562 "
00BG,E09000030,Tower Hamlets," 11,591 "," 33,091 ", - ," 97,649 "," 142,331 "
00BJ,E09000032,Wandsworth," 17,265 "," 11,554 ", 445 ," 127,966 "," 157,230 "
00BK,E09000033,Westminster," 12,207 "," 15,762 ", 206 ," 104,720 "," 132,895 "
,E13000002,Outer London," 154,403 "," 194,423 "," 2,036 "," 1,828,501 "," 2,179,363 "
00AB,E09000002,Barking and Dagenham," 16,141 "," 5,582 ", - ," 58,655 "," 80,378 "
00AC,E09000003,Barnet," 9,977 "," 10,247 ", - ," 142,644 "," 162,868 "
00AD,E09000004,Bexley, 238 ," 14,175 ", - ," 86,878 "," 101,291 "
00AE,E09000005,Brent," 8,798 "," 19,388 ", - ," 106,401 "," 134,587 "
00AF,E09000006,Bromley, 36 ," 19,208 ", 9 ," 123,517 "," 142,770 "
00AH,E09000008,Croydon," 13,421 "," 13,809 ", - ," 142,156 "," 169,386 "
00AJ,E09000009,Ealing," 10,959 "," 13,361 ", 129 ," 122,024 "," 146,473 "
00AK,E09000010,Enfield," 10,356 "," 8,612 ", 28 ," 111,423 "," 130,419 "
00AL,E09000011,Greenwich," 20,727 "," 15,475 ", 390 ," 87,728 "," 124,320 "
00AQ,E09000015,Harrow," 4,991 "," 4,683 ", 179 ," 86,780 "," 96,633 "
00AR,E09000016,Havering," 9,529 "," 4,923 ", - ," 94,386 "," 108,838 "
